Name	PrecentFrequency	ApproximateNumber	Rank
HUFFMAN	0.022	54,714	535
BRADFORD	0.022	54,714	536
CHARLES	0.022	54,714	537
GILMORE	0.022	54,714	538
DOMINGUEZ	0.022	54,714	539
ONEAL	0.022	54,714	540
BRUCE	0.022	54,714	541
LANG	0.021	52,227	542
COMBS	0.021	52,227	543
KRAMER	0.021	52,227	544
HEATH	0.021	52,227	545
HANCOCK	0.021	52,227	546
GALLAGHER	0.021	52,227	547
GAINES	0.021	52,227	548
SHAFFER	0.021	52,227	549
SHORT	0.021	52,227	550
WIGGINS	0.021	52,227	551
MATHEWS	0.021	52,227	552
MCCLAIN	0.021	52,227	553
FISCHER	0.021	52,227	554
WALL	0.021	52,227	555
SMALL	0.021	52,227	556
MELTON	0.021	52,227	557
HENSLEY	0.021	52,227	558
BOND	0.021	52,227	559
DYER	0.021	52,227	560
CAMERON	0.021	52,227	561
GRIMES	0.021	52,227	562
CONTRERAS	0.021	52,227	563
CHRISTIAN	0.021	52,227	564
WYATT	0.021	52,227	565
BAXTER	0.021	52,227	566
SNOW	0.021	52,227	567
MOSLEY	0.021	52,227	568
SHEPHERD	0.021	52,227	569
LARSEN	0.021	52,227	570
HOOVER	0.021	52,227	571
BEASLEY	0.02	49,740	572
GLENN	0.02	49,740	573
PETERSEN	0.02	49,740	574
WHITEHEAD	0.02	49,740	575
MEYERS	0.02	49,740	576
KEITH	0.02	49,740	577
GARRISON	0.02	49,740	578
VINCENT	0.02	49,740	579
SHIELDS	0.02	49,740	580
HORN	0.02	49,740	581
SAVAGE	0.02	49,740	582
OLSEN	0.02	49,740	583
SCHROEDER	0.02	49,740	584
HARTMAN	0.02	49,740	585
WOODARD	0.02	49,740	586
MUELLER	0.02	49,740	587
KEMP	0.02	49,740	588
DELEON	0.02	49,740	589
BOOTH	0.02	49,740	590
PATEL	0.02	49,740	591
CALHOUN	0.02	49,740	592
WILEY	0.02	49,740	593
EATON	0.02	49,740	594
CLINE	0.02	49,740	595
NAVARRO	0.02	49,740	596
HARRELL	0.02	49,740	597
LESTER	0.02	49,740	598
HUMPHREY	0.02	49,740	599
PARRISH	0.02	49,740	600
DURAN	0.02	49,740	601
HUTCHINSON	0.02	49,740	602
HESS	0.02	49,740	603
DORSEY	0.02	49,740	604
BULLOCK	0.02	49,740	605
ROBLES	0.02	49,740	606
BEARD	0.019	47,253	607
DALTON	0.019	47,253	608
AVILA	0.019	47,253	609
VANCE	0.019	47,253	610
RICH	0.019	47,253	611
BLACKWELL	0.019	47,253	612
YORK	0.019	47,253	613
JOHNS	0.019	47,253	614
BLANKENSHIP	0.019	47,253	615
TREVINO	0.019	47,253	616
SALINAS	0.019	47,253	617
CAMPOS	0.019	47,253	618
PRUITT	0.019	47,253	619
MOSES	0.019	47,253	620
CALLAHAN	0.019	47,253	621
GOLDEN	0.019	47,253	622
MONTOYA	0.019	47,253	623
HARDIN	0.019	47,253	624
GUERRA	0.019	47,253	625
MCDOWELL	0.019	47,253	626
CAREY	0.019	47,253	627
STAFFORD	0.019	47,253	628
GALLEGOS	0.019	47,253	629
HENSON	0.019	47,253	630
WILKINSON	0.019	47,253	631
BOOKER	0.019	47,253	632
MERRITT	0.019	47,253	633
MIRANDA	0.019	47,253	634
ATKINSON	0.019	47,253	635
ORR	0.019	47,253	636
DECKER	0.019	47,253	637
HOBBS	0.019	47,253	638
PRESTON	0.019	47,253	639
TANNER	0.019	47,253	640
KNOX	0.019	47,253	641
PACHECO	0.019	47,253	642
STEPHENSON	0.018	44,766	643
GLASS	0.018	44,766	644
ROJAS	0.018	44,766	645
